hash,satcomp-mallob,satcomp-prs-distributed,satcomp-solimul-cloud,aresult
3cff6c97a515aecfe46ba0f1256a3c11,3.65,3.103,4.55,sat
3e7dc7350195104b76b7d03ab5b0af8f,16.775,30.426,31.374,sat
3f341c57c37d86350af5233b8e15e52e,13.394,128.319,2000.0,sat
3f4174289e971950c290f27892169bc5,313.477,146.001,190.361,unsat
3ff114cc7bee4f39fa56a0325e605c2d,5.691,28.449,7.484,unsat
4029fbae284eaf924b37b6f43d3a67fb,2000.0,2000.0,2.444,unsat
40ae60a61929b6bfa2ac99ab4b9a0f7e,317.891,710.29,751.28,unsat
41457ee03686b32962c12445524f62a9,33.023,1.083,53.527,unsat
41a8365f60db55b71d949df6954e0db7,1.183,1.215,2.865,unsat
41c39c9a2d75ca50b603ea7c3d86106a,1.773,3.201,10.595,sat
4282ea42fd414bfd2c4bf81fe8a43e24,6.9,34.317,12.527,unsat
428da12ab8f5f68ae261e6468c2fef73,77.133,2000.0,4.472,sat
431bfb466be51ecd86b321b5cbce6d3c,1.512,1.916,2.739,unsat
4380f8ed143d97a65f8888b2feeddb80,2000.0,2000.0,2000.0,unknown
4408f30395fb799e01b34b0dc7ee1d62,2000.0,2000.0,2000.0,unknown
44092fcc83a5cba81419e82cfd18602c,1.194,1.109,2.732,unsat
44ad104c3b0c83b4cfc260583dee2397,9.358,20.556,23.624,sat
44b249f51321a2bf38f730534b781bec,1.281,1.909,2.471,sat
45faf223af97fe9177daa3ad4002cf2f,91.803,99.952,170.405,unsat
4611cd26b441b8c5866e4a2c5a7952dc,92.568,686.488,62.411,unsat
46e119b7ff8d0781354bfe68139c99b5,57.673,2000.0,144.599,unsat
48539e7e4baae6db72cda7e8a9cecfa0,229.001,2000.0,2000.0,unsat
48ac8814180bdc90bf96a4caea64dae2,2000.0,647.078,510.77,unsat
4989239fbeb6eb40fc0b664d9ba92636,36.007,17.427,27.446,unsat
4a6a797c6b4a8055d10b74edda9a5e30,2000.0,2000.0,2000.0,unknown
4d2f74ef97b6d40ebd71f85dcb75c543,1.953,2.166,3.264,unsat
4e64ffc14db014d5591f40865376c32a,16.615,19.541,221.733,unsat
4f38f4b005cc54122135c8c21aec4b85,490.444,766.397,310.591,unsat
4fd2e4e6ecb4fe8d3f9e1fda81633469,1.673,3.163,2000.0,sat
4fdcf4248a332c1c9a89d37439c879a9,287.714,116.507,2000.0,unsat
4fe42891b004d7425631a8edb4252d3f,743.543,2000.0,2000.0,sat
4ffb80a0ad8b753fee1492101ffcbdbb,2000.0,333.906,2000.0,unsat
524848d379582b63060ed43d3729b9f3,54.483,29.969,256.65,unsat
52be8740aab896317320cd44a5d2af2f,2000.0,2000.0,2000.0,unknown
