hash,AMSAT_,BreakID-kissat-low.sh,CaDiCaL_vivinst,Cadical_ESA,Cadical_rel_1.5.3.Scavel,Cadical_rel_Scavel,IsaSAT,Kissat_Inc_ESA,Kissat_MAB_Binary,Kissat_MAB_Conflict,Kissat_MAB_Conflict+,Kissat_MAB_DeepWalk+,Kissat_MAB_ESA,Kissat_MAB_Rephases,Kissat_MAB_prop,Kissat_MAB_prop-no_sym,Kissat_MAB_prop_pr-no_sym,MapleCaDiCaL_LBD-990_275,MapleCaDiCaL_LBD-990_500,MapleCaDiCaL_PPD-500_500,MapleCaDiCaL_PPD-950_950,MergeSat-bve_gates,MergeSat-bve_semgates,MergeSat-thread1,MiniSat+XorEngine,PReLearn-kissat-PReLearn-kissat.sh,PReLearn-kissat-PReLearn-tern-kissat.sh,ReEncode-kissat-ReEncode-pair-kissat.sh,SBVA-sbva_cadical,SBVA-sbva_kissat,SeqFROST,SeqFROST-ERE-All,SeqFROST-NoExtend,hKis-psids,hKis-sat_psids,hKis-unsat,hKissatInc-unsat,kissat-3.1.0,kissat-hywalk-exp,kissat-hywalk-exp-gb,kissat-hywalk-gb,kissat-pre-sc23,kissat_incsp,tabularasat-1.0.0
303ba61141150f84b0d8b44839df59fd,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1534.43,931.891,1003.28,463.987,778.041,1687.07,465.924,946.053,289.64,287.908,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,129.119,10000.0,10000.0,10000.0,10000.0,10000.0,2071.7,2072.09,2077.83,1201.44,1671.69,807.154,452.959,10000.0,459.391,625.119,750.658,753.346,1145.72,10000.0
30e680ded3b9be6be0b5baac273f2646,194.299,231.039,228.994,229.838,240.511,238.191,10000.0,549.0,625.316,721.198,2615.57,719.18,479.877,711.631,540.649,526.252,511.912,248.302,283.784,277.914,298.814,412.954,356.993,324.229,10000.0,1635.88,1202.81,2332.89,228.775,10000.0,186.507,183.841,185.123,10000.0,10000.0,452.492,10000.0,182.348,2600.7,546.949,1820.39,1496.75,564.66,866.038
323223c497a22051f5a3ef508ccbaa7c,57.8694,375.446,224.259,62.4198,853.131,838.644,10000.0,56.2013,68.3114,132.289,79.7573,322.886,140.129,79.7512,130.314,103.678,103.062,264.302,382.443,1363.98,85.9398,151.927,10000.0,150.4,26.663,126.526,365.337,44.3131,751.805,27.9468,207.701,260.191,144.246,10000.0,10000.0,106.151,10000.0,75.5463,250.026,227.342,381.103,54.9933,52.0562,78.0617
339b1cfda231aaca601cd6339c07ca2c,10000.0,10000.0,4379.77,3694.58,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
33cfa309d10e1d4fe30f1302807f42ce,44.4638,84.5425,778.246,735.578,84.6883,84.7451,10000.0,441.97,191.332,108.696,170.241,165.654,84.7067,172.096,77.3496,47.2921,47.3738,114.47,1129.78,338.886,954.109,143.234,507.732,173.907,10000.0,191.832,428.346,31.986,187.019,214.428,41.3683,252.929,63.2635,10000.0,10000.0,99.6748,10000.0,50.6743,56.556,38.5378,516.206,52.4632,137.398,103.395
3498eea73b78ddc444cbee48b121c541,10000.0,4607.68,2036.7,2945.21,3863.23,3649.81,10000.0,3431.17,2098.43,10000.0,2791.59,10000.0,2588.25,2848.28,4595.33,4632.04,4763.13,3921.09,4730.73,3931.1,3440.97,10000.0,10000.0,10000.0,10000.0,4189.57,4463.25,10000.0,2711.27,4755.36,10000.0,10000.0,10000.0,2501.67,2541.12,1696.2,1172.4,4227.13,1784.31,2991.78,3139.32,3008.46,10000.0,10000.0
34e5fd58b65bf305cc773f0dbfb47917,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.143237,0.143606,0.144188,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
35b19a3332597c1e5a3668f75ca72971,141.472,59.1896,72.008,634.04,221.514,218.47,10000.0,109.686,177.208,79.9287,58.0462,300.894,62.9321,58.1904,127.961,98.0104,99.1316,399.46,268.62,277.017,100.945,1209.48,109.926,405.57,2406.46,154.183,1527.9,353.514,309.759,89.0977,79.3869,78.6694,115.528,10000.0,10000.0,159.621,10000.0,54.4994,262.172,222.89,109.233,39.8092,126.363,254.459
361290e60ab2a8ea9dccfcff65bf0778,955.053,1081.1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1709.28,10000.0,10000.0,10000.0,10000.0,10000.0,1095.41,1387.77,1444.11,1074.75,2134.06,2853.98,1524.05,10000.0,10000.0,10000.0,10000.0,905.59,10000.0,1860.59,1874.48,1860.84,10000.0,10000.0,10000.0,10000.0,1704.37,10000.0,10000.0,10000.0,10000.0,10000.0,2526.72
37d40a1092b58ad28285b9453872d211,10000.0,138.179,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.095714,0.096417,0.096112,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,11.6072,300.341,1.37211,339.361,95.442,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
385a678ba820d79c6fb5f497adaf32ec,4571.26,1378.6,1708.02,1529.85,1467.39,1443.4,10000.0,1427.32,887.019,1263.7,1228.45,834.297,1378.31,1280.27,817.551,803.063,779.932,1905.84,1684.73,1249.7,2066.83,10000.0,10000.0,10000.0,10000.0,2189.44,2522.24,2074.44,1373.43,1786.58,2659.67,3177.68,3192.76,719.158,1334.15,739.087,697.187,1966.14,1635.25,1416.15,1012.42,836.303,1448.98,2889.7
385e2c7010a419a9bd47b9258c9d2903,10000.0,3173.7,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.00941,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
38ca761a5808eace8bc8f1fcfdb5b5a8,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,595.31,10000.0,10000.0
