hash,dps-satcomp2023,gimsatul,mallob23-parallel-1,mallob23-parallel-2,nps-satcomp2023,pahkis23,pakisinc23,satcomp-mergesat,satcomp-nopre-prs,satcomp-pkisds,satcomp-pkisds-step,satcomp-pkissat,satcomp-pkissat-str,satcomp-prs,satcomp-solimul-parallel,aresult
6e5efd19744842d1fa5415173bffbf6b,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown
6e9cae5108bd423666c73aaace197769,3.096,3.909,3.765,6.472,3.21,7.172,243.19,77.611,0.625,7.27,1.262,7.334,12.335,577.527,10000.0,sat
705f6075b27775e03daf6e8d781cb953,10.898,4.833,3.98,7.08,4.829,8.373,3.37,2362.952,10000.0,4.979,4.934,5.727,4.775,1.654,5.148,unsat
70af2c3bfd44bcf9baa2a9605f4a17fe,1.588,0.59,2.049,2.283,0.942,3.038,3.038,18.422,1.663,2.054,2.054,2.057,2.062,1.72,3.248,unsat
70ce0cff914efdc48f2a8fe86b5c68c6,47.833,27.224,51.719,67.81,22.459,4396.416,10000.0,131.884,6.538,46.229,39.226,43.214,13.259,18.861,4.051,sat
711ff7681711949f44b07a0d530dc729,346.963,67.806,267.662,341.562,328.639,633.205,878.22,641.568,334.336,154.69,142.67,33.632,36.635,445.448,133.637,unsat
71270454196ae092b28d0a74300a85e1,72.692,98.162,73.725,62.831,71.674,725.091,605.09,804.882,137.004,455.109,405.101,158.078,148.094,135.54,234.903,unsat
71758ed7637888d4fd4593ec820677bc,12.745,2.449,7.158,12.984,4.344,156.057,3685.314,32.839,45.058,1.072,1.073,1.073,1.101,244.563,0.847,sat
71bca76153c6ee65b72a517fd658a42d,0.049,0.049,0.562,0.567,0.048,1.038,1.039,0.435,0.16,1.042,1.042,1.047,1.048,0.113,0.64,sat
71cf538aa0751d27f144de9c8d82e458,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,797.194,sat
71dbf7ab78ef93c3d491c67752f03fd1,1.744,1.658,2.17,2.783,0.939,2.082,2.08,52.982,1.69,2.426,2.422,2.399,2.388,1.542,4.574,unsat
727cd7c528ac106f134cc882c9202108,945.298,284.301,733.07,728.182,953.409,516.917,287.902,10000.0,265.244,10000.0,372.681,246.055,257.763,268.619,796.71,unsat
72b5ad031bf852634bc081f9da9a5a60,55.596,402.103,74.622,63.638,50.903,566.075,302.056,2065.019,218.12,328.076,313.075,219.068,223.075,223.885,0.652,unsat
73063c6257a4ffc29f5bea7028403a64,15.11,2.517,1.97,5.17,13.148,9.035,39.036,85.708,9.853,5.041,12.042,4.043,24.049,4.005,18.953,sat
74931e82fd208ed949fa44bccd80df6b,59.158,33.283,48.996,58.119,52.232,64.519,63.533,3347.702,52.416,2.274,2.242,2.209,3.146,51.67,2.432,sat
751402d0738e5622b599c651283cb48a,21.742,7.914,11.676,8.979,13.016,1111.127,10000.0,33.202,833.829,1.074,1.073,1.075,1.093,154.384,0.746,sat
751afd7ddf8f242ed7bd93517ba82149,459.116,10000.0,838.097,1170.674,548.592,582.083,304.07,10000.0,432.957,282.083,440.105,386.109,413.119,0.071,10000.0,unsat
758f9ed67b4d2068c209157335e07266,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,2374.13,10000.0,10000.0,2568.319,3273.476,2420.286,3018.827,unsat
78d23f235b63b1b7f08eb1b6cfb03f34,10000.0,10000.0,10000.0,3086.169,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,96.718,10000.0,sat
79391ed5a7f19b947cefe7af1178146a,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1476.189,10000.0,10000.0,60.348,10000.0,sat
79c109a8c1da53c6b636d3835f11a19d,29.619,10.28,29.994,45.417,23.669,29.086,25.085,460.613,22.612,26.364,27.396,23.344,25.36,24.432,47.785,unsat
7aaf3275cbe217044ef305f0a1ca8eb5,1037.031,10000.0,1998.176,2205.135,1073.935,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,3247.36,3003.405,10000.0,0.652,unsat
7b4622a3ab523264378a560199de47ed,8.593,25.275,10.578,9.178,6.527,60.045,43.046,967.787,63.777,38.077,36.076,28.077,29.091,22.965,44.775,unsat
7d58f2f0c79cbcad0496ced184ba0680,10000.0,10000.0,2127.695,4708.989,10000.0,10000.0,3951.32,10000.0,10000.0,10000.0,10000.0,4770.564,3643.542,10000.0,10000.0,sat
7dc81d3cb9066f8bc06ceffbca237572,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,377.898,sat
81d2158d506ea1049708837460b9387e,46.795,83.812,42.594,33.691,47.142,286.056,183.049,1107.466,91.345,254.077,247.077,102.066,111.075,81.493,238.912,unsat
824c21545e228872744675ae4ee32976,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.639,unsat
8252d67358381873e07bb637ad177b83,290.167,329.829,357.526,141.217,175.828,152.592,124.773,10000.0,228.829,72.593,74.762,67.621,68.683,57.233,291.372,unsat
8270ae50e6f2881136868db6d3a88eee,105.256,243.515,80.612,67.624,101.8,575.077,352.061,2031.674,167.708,449.098,453.099,230.08,223.091,169.066,415.718,unsat
828e1066a477e98e8d834528df3fc874,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown
82fe0a5b2467d6e5299c315da8b16ec5,0.448,1.041,1.26,1.473,0.419,1.176,1.178,50.363,0.686,1.375,1.379,1.435,1.463,0.517,10000.0,sat
835ac60ca83af6f334b64b61c4ad345b,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.031,0.841,unsat
83cf6bfa7945b54e8c4ac659d1a4359e,13.363,29.615,25.371,20.19,15.377,17.577,6.571,208.133,15.647,17.562,16.56,19.846,18.832,17.055,225.899,sat
8403d03df1ce64af3bf7581449d320fb,0.769,0.968,0.86,1.171,0.628,1.203,1.308,124.983,0.702,1.301,1.303,1.439,2.385,0.459,10000.0,sat
85240babab8083e1b381e2971d875ab8,10000.0,474.822,389.874,339.761,10000.0,10000.0,10000.0,1826.588,179.144,328.019,329.018,90.997,100.045,158.952,304.658,unsat
8751f8d1570611ba079dfd862b14c514,12.417,28.924,20.475,15.482,18.317,17.592,17.591,187.902,14.737,13.595,20.512,17.885,18.877,16.045,247.822,sat
87ec32f70c5e3a279e636f7f62e70a19,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown
89120de895868a3fccd74f30f78a5448,4647.588,3972.73,3487.902,3762.971,10000.0,10000.0,4465.936,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unsat
8a7a61a63a718e4dc5aba5426b31c063,10000.0,506.799,386.967,345.244,10000.0,10000.0,10000.0,2169.322,185.608,323.998,314.011,92.971,100.967,182.0,257.418,unsat
8ade10da9731ce31d103c1687ff40a3d,0.47,1.145,0.861,1.053,0.442,1.209,1.21,78.191,0.765,1.389,1.39,1.459,1.535,0.539,10000.0,sat
8b797110ff321ee673eab1542069f192,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown
8bcd3f3e269fa3c9516667b626d61602,8.903,27.683,4.353,8.049,5.324,145.088,24.073,270.557,9.08,2.186,3.192,10.184,10.226,7.434,6.158,sat
8c7477dc33a412514998a2fd6b32dbf5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4278.094,10000.0,unsat
8cf6b81061285343c4f33c51afdb3fbb,120.42,48.129,148.963,197.533,113.876,109.086,79.085,389.661,68.438,93.401,79.401,78.371,81.368,73.25,114.829,unsat
8cfc8e99d31bcaf18ff3360b08c8521c,1049.429,1603.75,4557.45,937.68,884.24,2598.058,1694.934,2953.616,779.027,1325.953,1294.228,826.974,10000.0,742.184,2176.527,unsat
8d31ec9edeac705ffd1b23f0cc4f3256,9.947,12.004,8.076,15.003,8.671,8.068,48.073,162.735,2.607,4.147,2.143,5.15,12.158,2.196,130.137,sat
8d458780fb74c28c01a5fe89990ad521,7.239,33.323,7.866,11.68,4.71,18.037,12.042,74.476,7.28,13.045,14.044,12.047,13.048,0.066,8.351,unsat
8db36208fc6ce43b4002cf048c549b3f,2026.753,10000.0,1107.653,949.017,2046.145,10000.0,10000.0,10000.0,4704.502,10000.0,10000.0,10000.0,10000.0,4730.569,10000.0,unsat
8e30bfdb721ca0a20031c79a76f9aa7c,10000.0,504.6,432.904,336.68,10000.0,10000.0,10000.0,2003.485,194.719,330.002,324.028,92.001,92.963,191.052,363.796,unsat
8f7cd9fb4b8852fdf9a21c606724c71a,10000.0,359.609,298.097,256.186,10000.0,10000.0,10000.0,1430.288,127.323,229.997,202.99,68.974,71.993,118.532,293.845,unsat
8fa526d20599ca8c3d613e9066d62e61,137.962,164.1,176.507,191.236,112.216,236.732,180.759,1273.737,99.206,179.463,146.353,136.218,146.277,106.702,316.374,unsat
8fcc57f6c75cb2ac48d19e3038ad3c6c,147.409,30.262,129.668,177.423,109.546,290.158,287.153,366.94,167.614,55.539,59.543,16.519,17.506,223.771,51.687,unsat
909f704d5f4127c1197a086705468624,0.641,1.099,0.977,1.172,0.504,4.041,1.038,6.237,0.709,1.066,2.071,1.069,2.082,1.25,1.252,sat
911cbc796d15eb316d36c82c90fd7d11,0.143,0.24,0.666,0.777,0.143,1.043,1.046,3.426,0.197,1.066,1.066,1.067,1.092,0.234,1.057,sat
